"2.4.11-h","<a href=\"https://www.w3.org/TR/WCAG22/#focus-not-obscured-minimum\">SC 2.4.11 Focus Not Obscured (Minimum) (Level AA) (Markdown link)"
"2.4.12-h","<a href=\"https://www.w3.org/TR/WCAG22/#focus-not-obscured-enhanced\">SC 2.4.12 Focus Not Obscured (Enhanced) (Level AA) (Markdown link)"
"2.4.13-h","<a href=\"https://www.w3.org/TR/WCAG22/#focus-appearance\">SC 2.4.13 Focus Appearance (Level AAA) (Markdown link)"
"2.5.7-h","<a href=\"https://www.w3.org/TR/WCAG22/#dragging-movements\">SC 2.5.7 Dragging Movements (Level AA) (Markdown link)"
"2.5.8-h","<a href=\"https://www.w3.org/TR/WCAG22/#target-size-minimum\">SC 2.5.8 Target Size (Minimum) (Level AA) (Markdown link)"
"3.2.6-h","<a href=\"https://www.w3.org/TR/WCAG22/#consistent-help\">SC 3.2.6 Consistent Help (Level A) (Markdown link)"
"3.3.7-h","<a href=\"https://www.w3.org/TR/WCAG22/#redundant-entry\">SC 3.3.7 Redundant Entry (Level A) (Markdown link)"
"3.3.8-h","<a href=\"https://www.w3.org/TR/WCAG22/#accessible-authentication\">SC 3.3.8 Accessible Authentication (Level AA) (Markdown link)"
"3.3.9-h","<a href=\"https://www.w3.org/TR/WCAG22/#accessible-authentication-enhanced\">SC 3.3.9 Accessible Authentication (Enhanced) (Level AAA) (Markdown link)"
