"1.3.4-h","<a href=\"https://www.w3.org/TR/WCAG22/#orientation\">SC 1.3.4 Orientation</a>","1.3.4 Orientation (Markdown link)"
"1.3.5-h","<a href=\"https://www.w3.org/TR/WCAG22/#identify-input-purpose\">SC 1.3.5 Identify Input Purpose</a>","1.3.5 Identify Input Purpose (Markdown link)"
"1.4.3-h","<a href=\"https://www.w3.org/TR/WCAG22/#contrast-minimum\">SC 1.4.3 Contrast (Minimum)</a>","1.4.3 Contrast (Minimum) (Markdown link)"
"1.4.4-h","<a href=\"https://www.w3.org/TR/WCAG22/#resize-text\">SC 1.4.4 Resize Text</a>","1.4.4 Resize Text (Markdown link)"
"1.4.5-h","<a href=\"https://www.w3.org/TR/WCAG22/#images-of-text\">SC 1.4.5 Images of Text</a>","1.4.5 Images of Text (Markdown link)"
"1.4.10-h","<a href=\"https://www.w3.org/TR/WCAG22/#reflow\">SC 1.4.10 Reflow</a>","1.4.10 Reflow (Markdown link)"
"1.4.11-h","<a href=\"https://www.w3.org/TR/WCAG22/#non-text-contrast\">SC 1.4.11 Non-text Contrast</a>","1.4.11 Non-text Contrast (Markdown link)"
"1.4.12-h","<a href=\"https://www.w3.org/TR/WCAG22/#text-spacing\">SC 1.4.12 Text Spacing</a>","1.4.12 Text Spacing (Markdown link)"
"1.4.13-h","<a href=\"https://www.w3.org/TR/WCAG22/#content-on-hover-or-focus\">SC 1.4.13 Content on Hover or Focus</a>","1.4.13 Content on Hover or Focus (Markdown link)"
"2.4.5-h","<a href=\"https://www.w3.org/TR/WCAG22/#multiple-ways\">SC 2.4.5 Multiple Ways</a>","2.4.5 Multiple Ways (Markdown link)"
"2.4.6-h","<a href=\"https://www.w3.org/TR/WCAG22/#headings-and-labels\">SC 2.4.6 Headings and Labels</a>","2.4.6 Headings and Labels (Markdown link)"
"2.4.7-h","<a href=\"https://www.w3.org/TR/WCAG22/#focus-visible\">SC 2.4.7 Focus Visible</a>","2.4.7 Focus Visible (Markdown link)"
"3.1.2-h","<a href=\"https://www.w3.org/TR/WCAG22/#language-of-parts\">SC 3.1.2 Language of Parts</a>","3.1.2 Language of Parts (Markdown link)"
