"2.4.11-md","[SC 2.4.11 Focus Not Obscured (Minimum) (Level AA)](https://www.w3.org/TR/WCAG22/#focus-not-obscured-minimum)","1.1.1 Non-text Content (Markdown link)"
"2.4.12-md","[SC 2.4.12 Focus Not Obscured (Enhanced) (Level AA)](https://www.w3.org/TR/WCAG22/#focus-not-obscured-enhanced)","1.2.1 Audio-only and Video-only (Prerecorded) (Markdown link)"
"2.4.13-md","[SC 2.4.13 Focus Appearance (Level AAA)](https://www.w3.org/TR/WCAG22/#focus-appearance)","1.2.2 Captions (Prerecorded) (Markdown link)"
"2.5.7-md","[SC 2.5.7 Dragging Movements (Level AA)](https://www.w3.org/TR/WCAG22/#dragging-movements)","1.2.3 Audio Description or Media Alternative (Prerecorded) (Markdown link)"
"2.5.8-md","[SC 2.5.8 Target Size (Minimum) (Level AA)](https://www.w3.org/TR/WCAG22/#target-size-minimum)","1.3.1 Info and Relationships (Markdown link)"
"3.2.6-md","[SC 3.2.6 Consistent Help (Level A)](https://www.w3.org/TR/WCAG22/#consistent-help)","1.3.2 Meaningful Sequence (Markdown link)"
"3.3.7-md","[SC 3.3.7 Redundant Entry (Level A)](https://www.w3.org/TR/WCAG22/#redundant-entry)","1.3.3 Sensory Characteristics (Markdown link)"
"3.3.8-md","[SC 3.3.8 Accessible Authentication (Level AA)](https://www.w3.org/TR/WCAG22/#accessible-authentication)","1.4.1 Use of Color (Markdown link)"
"3.3.9-md","[SC 3.3.9 Accessible Authentication (Enhanced) (Level AAA)](https://www.w3.org/TR/WCAG22/#accessible-authentication-enhanced)","1.4.2 Audio Control (Markdown link)"
